,OCR,HTT,targets,SC OCR,brand_name
0,AXE PROVOCATION REFE NOXE BE COCH E PUC 301 48H NON-STOP FRAIS EAGAF LES TOEMRS • MARME E205AA1 BOCYSPRAY,Axe AXE Déodorant Provocation,0,axe PROVOCATION REFE NOXE BE COCH E PUC 301 48H NONSTOP FRAIS EAGAF LES TOEMRS * MARME E205AA1 BOCYSPRAY,axe
1,URIAGE MALE DEODORANT DOUCEUR nb cooors Escacité 24h GENTLE DEODORANT hout PEAUX SENSIBLES/ SENSITIVE SON LANS SELS D'AL UNINIUMY ALUMNOMREE MMPOALLERGENOU 50mle 1.7fl.oz.,Uriage Déodorant douceur,52,"
uriage MALE deodorant DOUCEUR nb cooors Escacite 24h GENTLE deodorant hout PEAUX SENSIBLES/ SENSITIVE SON LANS SELS DAL UNINIUMY ALUMNOMREE MMPOALLERGENOU 50mle 1.7fl.oz.",uriage
2,DEPUIS 1935 Monsavon OSMETIOUN au lait BIO AZE cOSn BIO ERQUE UN FRANTE ABRICOT pintede BASILIC Mon Savon Hydratant,Monsavon Monsavon Savon Lavant Antibactérien Abricot Basilic x1,8,"DEPUIS 1935 
monsavon OSMETIOUN au lait u bio AZE cOSn u bio ERQUE UN FRANTE ABRICOT pintede BASILIC Mon Savon Hydratant",monsavon
3,sompressé AXE 1BE COOL RETTNE GLACIALE tITEsX E9EOPASS 489 FRAIS,Axe AXE Déodorant Antibactérien Ice Cool Compressé,0,sompresse axe 1BE COOL RETTNE GLACIALE tITEsX E9EOPASS 489 FRAIS,axe
4,LES COSMETIGUSS SUN ACEITE SOLAR $0O 02001 COON 10 1 cEl COMNA LA PEL PEE.NI CUOI COCO E OCROATOLSGICAMEATE,Les Cosmetiques Aceite solar coco spf6 sun ultimate pistola,16,LES COSMETIGUSS SUN ACEITE SOLAR $0O 02001 COON 10 1 cEl COMNA LA PEL PEE.NI CUOI COCO E OCROATOLSGICAMEATE,les-cosmetiques
5,NIVEA MicelIAIR MICELLAR WATER ACE - 01E5 -1 W210038 dn-3XYA A0 JMOSNO SINO - NO PERPIRE AARIOUR ED PEEI SAA,NIVEA MicellAIR skin breathe micellar water,1,nivea MicelIAIR MICELLAR WATER ACE 01E5 1 W210038 dn3XYA A0 JMOSNO casino NO PERPIRE AARIOUR ED PEEI SAA,nivea
6,QUALITE PROFESSIONNELLE NOUVEAU OFES: Schwarzkopf PINCEAUA CROCHET ET BONNET ACes CoTeA M1 188m TOTONS usse BLLAYACEA Nordic a Blonde ÉCLAIRCISSANT ACTIVEÉ PAR L'HUILE AVEC OMEGAPLEX Technosogie Protessionoelle Anti-Casse Jusqu'a 80 % de chevoux cassés on molna* Dca Décoloration intenso - antirefiets jsunes,Schwarzkopf Nordic blonde,13,"QUALITE PROFESSIONNELLE NOUVEAU OFES: 
schwarzkopf PINCEAUA CROCHET ET BONNET ACes CoTeA M1 188m TOTONS usse BLLAYACEA Nordic a Blonde ECLAIRCISSANT ACTIVEE PAR LHUILE AVEC OMEGAPLEX Technosogie Protessionoelle AntiCasse Jusqua 80 % de chevoux casses on molna* Dca Decoloration intenso antirefiets jsunes",schwarzkopf
7,GARNICH Belle Color,Garnier Belle Color,5,GARNICH Belle Color,garnier
8,NIVEA MEN SENSITIVE SHOWER GEL OIT TAE 6H Seoihing e BaDas Earact sad 456ml,Nivea Men Sensitive Shower Gel Soothing + Bamboo Extract,34,nivea MEN SENSITIVE SHOWER GEL OIT TAE 6H Seoihing e BaDas Earact sad 456ml,nivea-men
9,"LE PETIT MARSETLIALS MOaNN 543 2 CUR SmInW REPARATION BAUME LEVRES LÈVRES ABIMEES, DESSÈCHEES REUPRE DE KARITE CInE D'ANERLE",Le Petit Marseillais Baume lèvres Réparation,7,"LE PETIT MARSETLIALS MOaNN 543 2 CUR SmInW REPARATION BAUME LEVRES LEVRES ABIMEES, DESSECHEES REUPRE DE KARITE CInE DANERLE",le-petit-marseillais
10,UAe Fari KLORANE FORTIFIANT & STIMULANT Doumne cp SHOu moooit vamines 8 Caure oe e 0 e W nct STRENGTHENNNG & REVIEALIZING conc lie wh Quinine ona B Vitamins KAR LOSS - EMINNING HI ARINCER - MINSE OUT 20 ml e MAiS 6.7 FL.02,Klorane Après shampooing fortifiant et stimulant,45,UAe Fari  klorane FORTIFIANT & STIMULANT Doumne cp SHOu moooit vamines 8 Caure oe e 0 e W nct STRENGTHENNNG & REVIEALIZING conc lie wh Quinine ona B Vitamins KAR LOSS EMINNING HI ARINCER MINSE OUT 20 ml e MAiS 6.7 FL.02,klorane
11,EXPERT CONFORT Signal medium Med,Signal Signal Expert Confort Brosse à Dents Medium x1,2,mixa expert CONFORT  signal medium Med,signal
12,YVES ROCHER SHAMPOOING TRAITANT ANTI-RECIDIVE Cheveux a peiliculer Ecorce de Grenade Sani allicohe ANTI-PELLICULAIRE| ANTI-DANDRUFF ANTDRECUBSENFCO Dandruff helr Fumegranate baik tconlorScee ter 0300 ml- 10.1 402 CHEVELIX SHAIR,YVES ROCHER nan,4,YVES ROCHER SHAMPOOING TRAITANT ANTIRECIDIVE Cheveux a peiliculer Ecorce de Grenade Sani allicohe ANTIPELLICULAIRE| ANTIDANDRUFF ANTDRECUBSENFCO Dandruff helr Fumegranate baik tconlorScee ter 0300 ml 10.1 402 CHEVELIX SHAIR,yves-rocher
13,AOVATION RNIER AMBRE SOLAIRE BRUME SÈ CHE Haute 30 Brume protectric oucher sec et pesa nue orption imnadiel ato a leau sins alcool S set dona fewa,"Garnier,Ambre Solaire Brume Sèche - Crème solaire FPS 30",5,"AOVATION 
garnier AMBRE SOLAIRE BRUME SE CHE Haute 30 Brume protectric oucher sec et pesa  nuxe orption imnadiel ato a leau sins alcool S set dona fewa",garnier
14,SA 10007 693%: A.CL:7701 CNC: 228 utraanscu por 337871 310868 M 50 mle Vichy CACAES Ee O.049 B06 t Mode in france r PAOOARO,Vichy Anti transpirant,61,"SA 10007 693%: A.CL:7701 CNC: 228 utraanscu por 337871 310868 M 50 mle 
vichy CACAES Ee O.049 B06 t Mode in france r PAOOARO",vichy
15,NOUVEAU GARNIeR Ultra DOUX SHAMPOOING PURIFIANT Sans silicone a l'argile douce et cédrat aas Paraho RAIES ChEVEUA dOUR e Absorbe purifie CHEVEUX 4TUR ÀTENDANCE GRASSE,"Garnier,Ultra Doux Shampooing purifiant sans silicone à l'argile douce et cédrat",5,NOUVEAU  garnier Ultra DOUX SHAMPOOING PURIFIANT Sans silicone a largile douce et cedrat aas Paraho RAIES ChEVEUA dOUR e Absorbe purifie CHEVEUX 4TUR ATENDANCE GRASSE,garnier
16,WHITE NOW INSTANT- TRIPLE POWER CODI NEW FORMULA,Signal White Now Gold,2,WHITE NOW INSTANT TRIPLE POWER CODI NEW FORMULA,signal
17,2-6ans oxtra SOUPLE ultro SOFT Signal 580l,Signal SIGNAL Brosse à Dents Enfants 2-6 ans Extra Souple x3,2,26ans oxtra SOUPLE ultro SOFT  signal 580l,signal
18,ROCHE XE A BAIES ERVEILLES,Yves Rocher nan,4,ROCHE axe A BAIES ERVEILLES,yves-rocher
19,LOT DE 6 (93% wit Timoteí tei NUTRITION INTENSE NG Male d Avoca ING SHAMPOOING ANMES CHEVELIK SEGS OU ABIVES,Timotei Timotei Nutrition Intense Shampoing Femme à l'Huile d'Avocat 100% d'origine naturelle Cheveux Secs Lot de 6x300ml,11,"LOT DE 6 (93% wit 
timotei tei NUTRITION INTENSE NG Male d Avoca ING SHAMPOOING ANMES CHEVELIK SEGS OU ABIVES",timotei
20,head& shoulders jnoca 1300 des pelicdle cieea HOMME,Head & Shoulders Shampooing antipelliculaire pour homme (maxi pack),24,"head& 
head & shoulders jnoca 1300 des pelicdle cieea HOMME",head-shoulders
21,"DÉODORANT , Parfum Cologne Siher",Leader Price nan,38,"deodorant , Parfum Cologne Siher",leader-price
22,3 VNVSI Do490 00dW VHS 5ao tudb fona us INENB9YON3 BESNO us CrOnatsLNNo ot Ertrestea ertorica Ursprunss 550 exaftsstafft J 0 Nronte Hesche ROSSMANN,isana nan,55,3 VNVSI Do490 00dW VHS 5ao tudb fona us INENB9YON3 BESNO us CrOnatsLNNo ot Ertrestea ertorica Ursprunss 550 exaftsstafft J 0 Nronte Hesche  rossmann,isana
23,LE PETIT MARSETLAL aoec du lait pomme Shampooing Extra Doux 2enl 527040 cet demele ve pique pas les yeux A,Le Petit Marseillais shampooing avec du lait et de la pomme,7,LE PETIT MARSETLAL aoec du lait pomme Shampooing Extra Doux 2enl 527040 cet demele ve pique pas les yeux A,le-petit-marseillais
24,Colgate® Totab CARIES* PLAQUE GENCIVES SENSIBILITE TARTRE /ORIGINAL (MAIL BLANCHEUR ufsbd 12H DE PROTECTION POOUNE BOUCHE SAINE HALEINE,Colgate Total Original,18,"
colgate Totab CARIES* PLAQUE GENCIVES SENSIBILITE TARTRE /ORIGINAL (MAIL BLANCHEUR ufsbd 12H DE PROTECTION POOUNE BOUCHE SAINE HALEINE",colgate
25,® YVES ROCHEE BRUME WTTNIE PAMDLEMOUSSEDE PAK CAVER VITAMIN BIG Fraiced ro e501 1609,Yves Rocher Brume vitaminée,4,YVES ROCHEE BRUME WTTNIE PAMDLEMOUSSEDE PAK CAVER VITAMIN BIG Fraiced ro e501 1609,yves-rocher
26,"itylene Crycor, Da wtollod el oquewesuoqut altamente idratante che nutre PHOS GV3AIN psnrnw esoso eun BDF0000 XW2YDARXCOZOLNO PAIS RSUS OUETN • SONQWER cechoadoag dlpos 408, poue atate Cera Microcrista 300 ml e Beiersdort rt. 89063 WWW.NIVE. JaURA De CNS /6sa 200o: 0wwpsalntanpmnbn unuyjexaruuaskormnb ESCO Mooln Aicohol (tucerte), Popic £9068 808500 D0crun 4 TO'OV'OIS 89068 (uewAO ""MPOgTeO",Nivea Nivea soft cream idratante rinfrescante per viso coperto mani,1,"itylene Crycor, Da wtollod el oquewesuoqut altamente idratante che nutre PHOS GV3AIN psnrnw esoso eun BDF0000 XW2YDARXCOZOLNO PAIS RSUS OUETN * SONQWER cechoadoag dlpos 408, poue atate Cera Microcrista 300 ml e beiersdorf rt. 89063 WWW.NIVE. JaURA De CNS /6sa 200o: 0wwpsalntanpmnbn unuyjexaruuaskormnb ESCO Mooln Aicohol (tucerte), Popic PS9068 808500 D0crun 4 TOOVOIS 89068 (uewAO ""MPOgTeO",nivea
27,compresse comacan OFFRE AXE LOT BODYSPRAY APOLLO DEODORANT x2,Axe AXE Déodorant Homme Spray Apollo Compressé,0, gold compresse comacan OFFRE axe LOT BODYSPRAY APOLLO deodorant x2,axe
